haplotype_id,protein_id,n_binders,n_binders_tmh
h1,p1,21,12
h1,p2,48,2
h1,p3,18,11
h2,p1,55,44
h2,p2,53,13
h2,p3,57,42
h3,p1,145,109
h3,p2,170,21
h3,p3,88,64
h4,p1,19,15
h4,p2,4,0
h4,p3,7,7
h5,p1,183,150
h5,p2,88,23
h5,p3,97,80
h6,p1,22,18
h6,p2,58,2
h6,p3,39,19
h7,p1,152,110
h7,p2,147,20
h7,p3,91,61
h8,p1,7,6
h8,p2,5,0
h8,p3,4,3
h9,p1,10,5
h9,p2,24,2
h9,p3,9,3
h10,p1,17,15
h10,p2,22,4
h10,p3,20,12
h11,p1,13,11
h11,p2,31,3
h11,p3,15,8
h12,p1,21,19
h12,p2,15,1
h12,p3,27,22
h13,p1,2,2
h13,p2,0,0
h13,p3,3,3
h14,p1,1,1
h14,p2,2,0
h14,p3,0,0
h15,p1,8,4
h15,p2,6,1
h15,p3,5,2
h16,p1,53,41
h16,p2,117,6
h16,p3,69,49
h17,p1,34,18
h17,p2,34,0
h17,p3,41,21
h18,p1,73,53
h18,p2,166,13
h18,p3,131,81
h19,p1,55,43
h19,p2,59,5
h19,p3,65,53
h20,p1,120,93
h20,p2,107,14
h20,p3,67,51
h21,p1,23,19
h21,p2,97,4
h21,p3,24,16
h22,p1,139,99
h22,p2,157,22
h22,p3,83,59
h23,p1,106,81
h23,p2,92,12
h23,p3,55,40
h24,p1,51,41
h24,p2,50,7
h24,p3,48,35
h25,p1,31,24
h25,p2,61,6
h25,p3,29,19
h26,p1,36,22
h26,p2,52,4
h26,p3,28,18
