haplotype_id,protein_id,n_binders,n_binders_tmh
h1,p1,5,5
h1,p2,4,1
h1,p3,20,6
h2,p1,8,8
h2,p2,22,16
h2,p3,41,21
h3,p1,21,20
h3,p2,38,27
h3,p3,80,36
h4,p1,4,4
h4,p2,2,2
h4,p3,13,11
h5,p1,27,27
h5,p2,35,30
h5,p3,84,61
h6,p1,0,0
h6,p2,3,2
h6,p3,14,6
h7,p1,18,18
h7,p2,35,27
h7,p3,84,44
h8,p1,3,2
h8,p2,1,1
h8,p3,6,3
h9,p1,0,0
h9,p2,1,1
h9,p3,17,5
h10,p1,1,1
h10,p2,6,5
h10,p3,9,6
h11,p1,3,2
h11,p2,2,1
h11,p3,16,10
h12,p1,0,0
h12,p2,3,2
h12,p3,15,8
h13,p1,0,0
h13,p2,0,0
h13,p3,0,0
h14,p1,0,0
h14,p2,1,0
h14,p3,0,0
h15,p1,0,0
h15,p2,3,2
h15,p3,2,0
h16,p1,4,4
h16,p2,8,8
h16,p3,42,17
h17,p1,1,1
h17,p2,7,4
h17,p3,30,11
h18,p1,2,2
h18,p2,23,19
h18,p3,66,25
h19,p1,10,9
h19,p2,13,9
h19,p3,43,26
h20,p1,18,18
h20,p2,26,22
h20,p3,80,49
h21,p1,2,2
h21,p2,8,7
h21,p3,17,10
h22,p1,22,22
h22,p2,32,25
h22,p3,93,48
h23,p1,21,21
h23,p2,26,21
h23,p3,68,41
h24,p1,11,11
h24,p2,16,14
h24,p3,34,20
h25,p1,5,5
h25,p2,10,8
h25,p3,33,13
h26,p1,0,0
h26,p2,12,10
h26,p3,23,8
